
 num     #instances         #bytes  class name
----------------------------------------------
   1:         62020       11330376  [C
   2:          3297       10818696  [I
   3:          2875        1808224  [B
   4:         54639        1311336  java.lang.String
   5:         11357         999416  java.lang.reflect.Method
   6:          7118         790320  java.lang.Class
   7:         20199         646368  java.util.concurrent.ConcurrentHashMap$Node
   8:          9315         457856  [Ljava.lang.Object;
   9:          9871         315872  java.lang.ref.WeakReference
  10:          9606         307392  java.util.HashMap$Node
  11:          7649         305960  java.util.LinkedHashMap$Entry
  12:          3471         291088  [Ljava.util.HashMap$Node;
  13:         12599         278840  [Ljava.lang.Class;
  14:         15031         240496  java.lang.Object
  15:          5131         205240  java.lang.ref.SoftReference
  16:          3638         203728  java.util.LinkedHashMap
  17:           115         174320  [Ljava.util.concurrent.ConcurrentHashMap$Node;
  18:          2532         141792  java.beans.MethodDescriptor
  19:          3969         135672  [Ljava.lang.String;
  20:          1872         134784  java.lang.reflect.Field
  21:          5563         133512  java.util.ArrayList
  22:          5450         130800  java.beans.MethodRef
  23:          2598         124704  org.springframework.core.ResolvableType
  24:          1365         109200  java.lang.reflect.Constructor
  25:          1630         104320  java.net.URL
  26:          1486          96360  [Ljava.lang.reflect.Method;
  27:          2272          90880  org.springframework.util.ConcurrentReferenceHashMap$Segment
  28:          2827          90464  java.util.ArrayList$Itr
  29:          2635          84320  java.util.concurrent.locks.ReentrantLock$NonfairSync
  30:          2433          77856  java.lang.ref.ReferenceQueue
  31:          2385          76592  [Lorg.springframework.util.ConcurrentReferenceHashMap$Reference;
  32:          1280          71680  java.lang.Class$ReflectionData
  33:          1762          70480  java.util.HashMap$KeyIterator
  34:           710          68160  org.springframework.beans.GenericTypeAwarePropertyDescriptor
  35:          1259          60432  java.util.HashMap
  36:          1423          56920  java.util.TreeMap$Entry
  37:          2272          54528  org.springframework.util.ConcurrentReferenceHashMap$ReferenceManager
  38:          2404          54000  [Ljava.lang.reflect.Type;
  39:           959          53704  java.lang.invoke.MemberName
  40:          2131          51144  sun.reflect.generics.tree.SimpleClassTypeSignature
  41:           883          49448  java.util.concurrent.ConcurrentHashMap$KeyIterator
  42:           684          49248  java.beans.PropertyDescriptor
  43:           731          46784  org.springframework.core.MethodParameter
  44:           957          45936  org.springframework.util.ConcurrentReferenceHashMap$SoftEntryReference
  45:           906          43488  org.apache.tomcat.util.modeler.AttributeInfo
